,Fecha,Ubicacion,Operador,Ruta,Tipo Avion,Num Registro,cn / ln,Total Muertes en Suelo,Año,Total Abordo,Pasajeros abordo,Tripulación Abordo,Total Muertes,Muertes Pasajeros,Muertes Tripulacion,Tasa Mortalidad,Ciudad
2281,1967-03-30,"New Orleans, Louisiana",Delta Air Lines,New Orleans AP - New Orleans AP,McDonnell Douglas DC-8-51,N802E,45409/19,13,1967,6,0,6,6,0,6,1.0,New Orleans AP 
2282,1967-04-02,"Off Lima, Peru",Caribbean Airlines,Miami - Lima - Asunción,Lockheed 18 Lodestar,N706G,2625,0,1967,5,2,3,5,2,3,1.0,Miami 
2284,1967-04-11,"Tamanrasset, Algeria",Air Algerie,Algiers - Tamanrasset,Douglas DC-4,7T-VAU,3065,0,1967,39,33,6,35,29,6,0.8974358974358975,Algiers 
2285,1967-04-17,"Near Mamuniyeh, Iran",Military - Imperial Iranian Air Force,Shiraz - TerhanI,Lockheed C-130B,5-107,4118,0,1967,23,14,9,23,14,9,1.0,Shiraz 
2286,1967-04-20,"Near Nicosia, Cyprus",Globe Air,Bombay - Cairo,Bristol Britannia 175,HB-ITB,13232,0,1967,130,120,10,126,117,9,0.9692307692307692,Bombay 
2287,1967-04-26,"Near Sogamosa, Colombia",AVIANCA,Sogamoso - Trinidad,Douglas DC-3,HK-326,4631,0,1967,18,16,2,17,15,2,0.9444444444444444,Sogamoso 
2288,1967-04-27,"Malaybalay, Philippines",Pelita Air Service,Demonstration,Fokker F-27 Friendship 400,PK-PFB,10306,0,1967,21,18,3,19,16,3,0.9047619047619048,Demonstration
2290,1967-05-15,"Cape Dyer, Northwest Territories Canada",Nordair,Hall Beach - Cape Dyer,Curtiss C-46T,CF-NAD,30200,0,1967,4,2,2,4,2,2,1.0,Hall Beach 
2291,1967-05-19,"Ottawa, Ontario, Canada",Air Canada,Training -Montreal - Ottawa,Douglas DC-8-54F,CF-TJM,45653/178,0,1967,3,0,3,3,0,3,1.0,Training 
2292,1967-06-03,"Mt. Canigou, near Roussillon, France",Air Ferry Ltd,Manston - Perpignan,Douglas C54A,G-APYK,10279,0,1967,88,83,5,88,83,5,1.0,Manston 
2293,1967-06-04,"Stockport, Cheshire, England",British Midland Airways,Palma de Mallorca - Manchester,Canadair C-4 Argonaut,G-ALHG,153,0,1967,84,79,5,72,69,3,0.8571428571428571,Palma de Mallorca 
2294,1967-06-11,"Jedda, Saudi Arabia",Saudi Arabian Airlines,Madinah - Jeddah,Douglas DC-3,HZ-AAJ,15235/26680,0,1967,18,15,3,17,14,3,0.9444444444444444,Madinah 
2295,1967-06-12,"Near La Paz, Mexico",Aeronaves de Mexico,La Paz - Mazatlan,Douglas DC-3A-197D,XA-FUW,3260,2,1967,4,0,4,3,0,3,0.75,La Paz 
2296,1967-06-12,"Dublin, Ireland",Aer Turas,Glasgow - Dublin,Bristol 170 Freighter 31E,EI-APM,13076,0,1967,2,0,2,2,0,2,1.0,Glasgow 
2298,1967-06-17,"An Khe, South Vietnam",Military - U.S. Air Force,An Khe - Tan Son Nhut,Lockheed C-130B,60-0293,3591,0,1967,56,49,7,35,35,0,0.625,An Khe 
2300,1967-06-23,"Blossburg, Pennsylvania",Mohawk Airlines,Elmira - Washington DC,BAC One Eleven 204AF,N1116J,098,0,1967,34,30,4,34,30,4,1.0,Elmira 
2302,1967-06-30,"Kai Tak, Hong Kong",Thai International,Seoul - Hong Kong,Sud Aviation SE-210 Caravelle III,HS-TGI,025/24,0,1967,80,73,7,24,24,0,0.3,Seoul 
2303,1967-07-06,"Bacolod, Philippines",Philippine Air Lines,Bacolod - Mactan,Fokker F-27 Friendship 100,PI-C527,10285,0,1967,21,17,4,21,17,4,1.0,Bacolod 
2305,1967-07-19,"Near Hendersonville, North Carolina",Piedmont Airlines / Private,Ashville - Roanoke,Boeing B-727-22 / Cessna 310,N68650/N3121S,18295/4 / ?,0,1967,82,77,5,82,77,5,1.0,Ashville 
2306,1967-07-19,"Tananarive, Malagasy Republic",Air Madagascar,Atlanta - Asheville - Roanoke - Washington DC,Douglas DC-4-1009,5R-MAD,42991,0,1967,42,39,3,42,39,3,1.0,Atlanta 
2309,1967-07-29,"Gulf of Tonkin,",Military - US Navy,Bombing mission,Mc Donnell Douglas F-4B Phantom II,-,-,134,1967,2,0,2,0,0,0,0.0,Bombing mission
2310,1967-08-27,"Lake Erie off Huron, Ohio",Private,"Wakeman - Wakeman, Ohio",North American B-25 Mitchell,N3443G,108-33745,0,1967,22,20,2,16,16,0,0.7272727272727273,Wakeman 
2311,1967-09-05,"Near Gander, Newfoundland, Canada",Ceskoslovenske Aerolinie,Gander - Havana,Ilyushin IL-18,OK-WAI,187009705,0,1967,69,61,8,37,33,4,0.5362318840579711,Gander 
2312,1967-10-08,"Near Huong Thuy, South Vietnam",Military - U.S. Air Force,Hue - Da Nang,Lockheed C130B,61-2649,3692,0,1967,23,18,5,23,18,5,1.0,Hue 
2314,1967-10-12,"Off Rhodes, Greece",British European Airways,Athens - Nicosia,de Havilland Comet 4B,G-ARCO,06449,0,1967,66,59,7,66,59,7,1.0,Athens 
2316,1967-11-03,"Near Curitiba, Brazil",Sadia,Sao Paulo - Curitiba,Handley Page HPR-7 Herald 214,PP-SDJ,190,0,1967,25,20,5,21,16,5,0.84,Sao Paulo 
2317,1967-11-04,"Fernhurst, Sussex, England",Iberia Airlines,Malaga - London,Sud Aviation Caravelle 10R,EC-BDD,202/204,0,1967,37,30,7,37,30,7,1.0,Malaga 
2318,1967-11-05,"Hong Kong, China",Cathay Pacific Airways,Hong Kong - Saigon,Convair CV-880-22M-3,VR-HFX,22-00-37,0,1967,127,116,11,1,1,0,0.007874015748031496,Hong Kong 
2319,1967-11-06,"Cincinnati, Ohio",Trans World Airlines,Cincinnati - Los Angeles,Boeing B-707-131,N742TW,17669/43,0,1967,36,29,7,1,1,0,0.027777777777777776,Cincinnati 
2320,1967-11-16,"Near Sverdlovsk, Russia",Aeroflot,Sverdlovsk  - Tashken,Ilyushin IL-18B,CCCP-75538,184007002,0,1967,107,99,8,107,99,8,1.0,Sverdlovsk  
2321,1967-11-20,"Cincinnati International Airport, Covington/Hebron, Kentucky",Trans World Airlines,Los Angeles - Cincinnati,Convair CV-880-22-1,N821TW,22-00-27,0,1967,82,75,7,70,65,5,0.8536585365853658,Los Angeles 
2324,1967-12-08,"Carpich Huanuco Mt., Peru",Faucett,Huanuco - Tingo Maria,Douglas DC-C-54A,OB-R-148,10284,0,1967,72,66,6,72,66,6,1.0,Huanuco 
