,Fecha,Ubicacion,Operador,Ruta,Tipo Avion,Num Registro,cn / ln,Total Muertes en Suelo,Año,Total Abordo,Pasajeros abordo,Tripulación Abordo,Total Muertes,Muertes Pasajeros,Muertes Tripulacion,Tasa Mortalidad,Ciudad
49,1920-12-14,"London, England",Handley Page Transport,London - Paris,Handley Page HP-16,G-EAMA,HP-25,0,1920,8,6,2,4,2,2,0.5,London 
61,1921-09-06,"Paris, France",Franco-Roumaine,Warsaw - Prague - Strasbourg - Paris,Potez IX,F-ADCD,160,0,1921,5,4,1,5,4,1,1.0,Warsaw 
62,1921-12-05,"Near Murchinson River, Australia",West Australian Airways,Geraldton - Derby,Bristol 28 Tourer,G-AUDI,6116,0,1921,2,0,2,2,0,2,1.0,Geraldton 
66,1922-04-07,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,0,1922,7,5,2,7,5,2,1.0,Croydon 
68,1922-06-03,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,Croydon - Paris,Bleriot Spad 27,F-ACMH,555,0,1922,3,2,1,3,2,1,1.0,Croydon 
70,1922-07-16,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Strasbourg - Paris,Potez 29,F-FREI,25,0,1922,5,4,1,5,4,1,1.0,Strasbourg 
73,1922-10-02,"Venice, Italy",de Havilland Air Service,Venice - London,de Havilland DH-9,G-EAYT,14,0,1922,4,3,1,4,3,1,1.0,Venice 
75,1922-12-03,"Fez, Morocco",Grands Express Aeriens,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,F-ALNA,14,0,1922,1,0,1,1,0,1,1.0,Toulouse 
80,1923-05-14,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Paris - London,Farman F-60 Goliath,F-AEBY,15,0,1923,6,4,2,6,4,2,1.0,Paris 
81,1923-08-27,"East Mallling, United Kingdom",Air Union,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,F-AECB,4,0,1923,11,9,2,1,1,0,0.09090909090909091,Paris 
84,1923-09-14,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,Croydon - Manchester,de Havilland DH-34,G-EBBS,29,0,1923,5,3,2,5,3,2,1.0,Croydon 
90,1924-04-24,Over the English Channel,KLM Royal Dutch Airlines,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,1535,0,1924,3,2,1,3,2,1,1.0,"Lympne, England "
91,1924-06-08,"Barranquilla, Colombia",SCADTA,Barranquilla - Bogota,Junkers F-13,A16,684,0,1924,5,3,2,5,3,2,1.0,Barranquilla 
95,1924-12-24,"Purley, England",Imperial Airways,London - Paris,de Havilland DH-34B,G-EBBX,36,0,1924,8,7,1,8,7,1,1.0,London 
96,1925-03-22,"Near Tiflis, Georgia, USSR",Zakavia,Tiflis - Suchumi,Junkers F-13,R-RECA,590,0,1925,5,3,2,5,3,2,1.0,Tiflis 
97,1925-04-25,"Alicante, Spain",Grands Express Aeriens,Alicante - Barcelona - Toulouse,Breguet 14,F-AFBB,202,0,1925,3,1,2,3,1,2,1.0,Alicante 
98,1925-06-25,"Landrécies, France",KLM Royal Dutch Airlines,Amsterdam - Paris,Fokker (KLM)  F.III,H-NABM,1502,0,1925,4,3,1,4,3,1,1.0,Amsterdam 
100,1925-07-20,"Rosas, Spain",Lignes Aeriennes Latecoere,Toulouse - Barcelona,Breguet 14,F-AFBI,209,0,1925,1,0,1,1,0,1,1.0,Toulouse 
109,1926-05-31,English Channel,Air Union,Paris - Cryodon,Breguet 14,F-ADAI,1908,0,1926,1,0,1,1,0,1,1.0,Paris 
110,1926-07-03,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,Paris - Prague - Budapest,Caudron C-61,F-AFBT,5307,0,1926,6,4,2,6,4,2,1.0,Paris 
111,1926-07-09,"Wolvertem, Belgium",KLM Royal Dutch Airlines,Amsterdam - Rotterdam - Brussels - Paris,Fokker F7,H-NACC,4759,0,1926,2,1,1,2,1,1,1.0,Amsterdam 
113,1926-08-18,"Hurst, Kent, England",Air Union,"Lebourget, France - Croydon, England",Bleriot 155,F-AIEB,2,0,1926,15,13,2,3,2,1,0.2,"Lebourget, France "
115,1926-10-02,"Leigh, Kent, Unied Kingdom",Air Union,Paris - London,Bleriot 155,F- AICQ,1,0,1926,7,5,2,7,5,2,1.0,Paris 
117,1926-10-21,English Channel,Imperial Airways,Croydon - Paris,Handley Page W-10,G-EBMS,W10/3,0,1926,12,10,2,0,0,0,0.0,Croydon 
118,1926-11-11,"Cape Bojador, Morocco",Grands Express Aeriens,Casablanca -Dakar,Breguet 14,F-AFAX,198,0,1926,3,3,0,3,3,0,1.0,Casablanca 
120,1927-01-12,"Estaires, France",Fokker,Delivery flight,Fokker F-VII,G-EBPL,4938,0,1927,0,0,2,0,0,2,,Delivery flight
122,1927-03-24,"Tambo, Qld, Australia",Qantas,Charleville - Tambo - Blackall,de Havilland DH-9C,G-AUED,86,0,1927,3,2,1,3,2,1,1.0,Charleville 
124,1927-04-22,"Floh, Germany",Deutsche Lufthansa,Charleville - Tambo - Blackall,Fokker FG III,D-729,1567,0,1927,2,1,1,2,1,1,1.0,Charleville 
127,1927-07-27,"Amoneburg, Germany",Deutsche Lufthansa,Kassel - Frankfurt,Junkers F-13,D-206,591,0,1927,5,3,2,5,3,2,1.0,Kassel 
128,1927-08-22,"Sevenoaks, England",KLM Royal Dutch Airlines,Croydon - Schiphol,Fokker F-VIII,"H-NADU
H-NADU",4993,0,1927,11,9,2,1,0,1,0.09090909090909091,Croydon 
130,1927-09-17,"Hadley, New Jersey",Reynolds Airways,Sightseeing,Fokker F-VII,NC776,4840,0,1927,12,11,1,7,6,1,0.5833333333333334,Sightseeing
131,1927-09-17,Atlantic Ocean,Private,Old Orchad Beach - Rome,Fokker F7,NX703,4899/0501,0,1927,3,1,2,3,1,2,1.0,Old Orchad Beach 
132,1927-09-23,"Schleiz, Germany",Deutsche Lufthansa,Berlin - Munich,Dornier Merkur,D-585,075,0,1927,6,4,2,6,4,2,1.0,Berlin 
133,1927-10-06,"Thies, Mauritania",Lignes Aeriennes Latecoere,Saint Louis - Dakar,Breguet 14,F-AGBN,229,0,1927,2,0,2,2,0,2,1.0,Saint Louis 
135,1927-11-08,"Strasburg, France",CIDNA,Strasbourg - Paris,Farman F-121 Jabiru,F-AIBR,1,0,1927,1,0,1,1,0,1,1.0,Strasbourg 
136,1927-11-16,Over the Gulf of Finland,Aero O-Y,Tallinn - Helsinki,Junkers F-13,K-SALD,798,0,1927,6,4,2,6,4,2,1.0,Tallinn 
138,1927-12-28,"Almeria, Spain",Aeropostale,Dakar - Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,F-AFGS,227,0,1927,1,0,1,1,0,1,1.0,Dakar 
139,1927-12-31,"Near Marseille,France",Latecoere Airlines,Test flight,Latécoère 23 (flying boat),F-AIHP,23-1,0,1927,5,0,5,5,0,5,1.0,Test flight
140,1928-01-08,"Near Canajoharie, New York",Colonial Western Airlines,Minola - Albany - Buffalo,Fairchild FC-2,NC3780,39,0,1928,3,1,2,3,1,2,1.0,Minola 
141,1928-01-16,"Solis, Uruguay",Aeropostale,Buenos Aires - Montevideo,Latecoere 25,F-AIKG,633,0,1928,2,0,2,2,0,2,1.0,Buenos Aires 
143,1928-01-22,"Tarragona, Spain",Aeropostale,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,F-AHEQ,240,0,1928,2,0,2,2,0,2,1.0,Casablanca 
144,1928-01-27,"Almeria, Spain",Aeropostale,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,F-AFHN,162,0,1928,1,0,1,1,0,1,1.0,Casablanca 
146,1928-03-11,"Off Cape Griz Nez, France",Air Union,Paris - Croydon,Farman F-60 Goliath,F-AEFC,62/6943,0,1928,2,0,2,2,0,2,1.0,Paris 
148,1928-04-19,"Minuesa, Spain",Iberia Airlines,Barcelona - Madrid,Rohrbach Roland,M-CCCC,36,0,1928,9,7,2,9,7,2,1.0,Barcelona 
150,1928-05-12,"Dearborn, Minnesota",Ford Air Freight Inc.,Dearborn - Buffalo,Ford 4,NC1492,4-AT-001,0,1928,2,0,2,2,0,2,1.0,Dearborn 
151,1928-05-26,"Radevormwald, Germany",Deutsche Lufthansa,Essen - Dortmund - Frankfurt,Junkers F-13,D-583,742,0,1928,5,4,1,3,2,1,0.6,Essen 
153,1928-06-22,"Lebo, Kansas",National Air Transport,Chicago - Dallas,Douglas M-4,NC1059,628,0,1928,1,0,1,1,0,1,1.0,Chicago 
154,1928-07-10,Over the Gulf of Finland,Aero O-Y,Tallinn - Helsinki,Junkers F-13,K-SALB,760,0,1928,6,4,2,6,4,2,1.0,Tallinn 
155,1928-07-13,"Purley, England",Imperial Airways,Testing,Vickers 74 Vulcan,G-EBLB,9,0,1928,6,5,1,4,4,0,0.6666666666666666,Testing
156,1928-07-24,"Waalhaven, Netherlands",KLM Royal Dutch Airlines,Sightseeing over Rotterdam,Fokker (KLM) F.III,H-NABR,1533 (KLM-1),0,1928,6,5,1,1,1,0,0.16666666666666666,Sightseeing over Rotterdam
157,1928-08-25,"Near Port Townsend, BC, Canada",British Columbia Airways,Victoria - Seattle,Ford 4-AT-B Tri Motor,G-CATX,4-AT-26,0,1928,7,5,2,7,5,2,1.0,Victoria 
158,1928-09-02,"Toul, France",CIDNA,Toul - Clermont-Ferrand,Bleriot Spad 33,F-AIEP,5/4207,0,1928,5,2,3,5,2,3,1.0,Toul 
159,1928-09-04,"Adelaide Hills, Australia",Qantas,Adelaide - Longreach,de Havilland DH.50J,G-AUHI,5,0,1928,2,0,2,1,0,1,0.5,Adelaide 
160,1928-09-04,"Pocatello, Idaho",National Parks Airways,Great Falls - Pocatello - Salt Lake City,Fokker Super Universal,NC7242,809,0,1928,7,6,1,7,6,1,1.0,Great Falls 
162,1928-10-04,"Gerona, Spain",Aeropostale,Casablanca - Alicante - Barcelona - Perpignan - Toulouse,Breguet 14,"F-AEEJ
F-AEEJ",159,0,1928,3,2,1,3,2,1,1.0,Casablanca 
164,1928-10-31,"Valence, France",Air Union,Paris - Lyon - Marseille,Bleriot Spad 56,F-AIMN,4381.9,0,1928,2,1,1,1,0,1,0.5,Paris 
166,1928-11-24,"Edgerton, Ohio",Universal Airlines,Cleveland - Chicago,Hamilton H-47,NC7521,46,0,1928,3,2,1,3,2,1,1.0,Cleveland 
167,1928-11-25,"Edgerton, Ohio",Continental Air Lines,Cleveland - Louisville,Travel Air 4000,NC5436,525,0,1928,1,0,1,1,0,1,1.0,Cleveland 
169,1928-12-01,"Spur, Texas",Sunbeam Air Transport Co.,San Antonio - Amarillo - Tulsa - Denver,Ford 4-AT-B Tri Motor,NC7862,4-AT-47,0,1928,5,4,1,5,4,1,1.0,San Antonio 
170,1928-12-03,"Near Rio de Janeiro,Brazil",Syndicato Condor,Sightseeing,Dornier Wal,P-BACA,83,0,1928,14,9,5,14,9,5,1.0,Sightseeing
171,1928-12-10,"Spokan, Washington",Spokane Airways,Colfax - Spokane,Ford Tri-motor 4,NC7687,4-AT-045,0,1928,5,3,2,5,3,2,1.0,Colfax 
172,1928-12-11,"Letzlingen, Germany",Deutsche Lufthansa,Cologne -  Berlin,Junkers G-31,D-1473,3005,0,1928,4,1,3,3,0,3,0.75,Cologne 
173,1928-12-20,"Huron, Ohio",National Air Transport,Cleveland - Chicago,Douglas M-4,NC790,653,0,1928,1,0,1,1,0,1,1.0,Cleveland 
175,1928-12-31,"Reims, France",CIDNA,Strasbourg - Paris,Blériot Spad 66,F-AEHX,3359-40,0,1928,3,2,1,2,2,0,0.6666666666666666,Strasbourg 
177,1929-01-18,"Cove, Oregon",Varney Air Lines,"Boise, ID - Pasco, WA",Stearman C-38,NC1682,102,0,1929,1,0,1,1,0,1,1.0,"Boise, ID "
178,1929-01-25,"Near Corfu, Greece",Aeroespresso,Brindisi - Athens - Istanbul,CMASA Wal,I-AZDA,053,0,1929,9,7,2,2,7,2,0.2222222222222222,Brindisi 
179,1929-01-31,Off Morocco,Aeropostale,Agadir - Casablanca,Latecoere 26,"F-AIMU
F-AIMU",674,0,1929,2,0,2,2,0,2,1.0,Agadir 
181,1929-03-17,"Newark, New Jersey",Colonial Western Airlines,Sightseeing,Ford 5-AT-B Tri Motor,NC7683,4-AT-41,0,1929,15,13,2,14,13,1,0.9333333333333333,Sightseeing
182,1929-03-30,"Near Beaumont, California",New Standard Airlines,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,NC7888,617,0,1929,4,3,1,4,3,1,1.0,Los Angeles 
183,1929-04-21,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,San Diego - Phoenix,Ford 5-AT-B Tri-Motor / B-PW-9D,NC9636 / 28-037,4-AT-010,0,1929,6,3,3,6,3,3,1.0,San Diego 
186,1929-05-22,Algiers,Aeropostale,Algiers - Marseille,Cams 53,F-AISX,07,0,1929,6,3,3,4,3,2,0.6666666666666666,Algiers 
187,1929-06-13,"Santiago de Cuba, Cuba",Pan American Airways,Santiago de Cuba - Havana,Fokker F-X,NC9700,1010,0,1929,5,1,4,2,1,1,0.4,Santiago de Cuba 
188,1929-06-14,"Barcelona, Spain",Aeropostale,Janeiro - Buenos Aires,Breguet 14,F-AFEJ,217,0,1929,2,0,2,1,0,1,0.5,Janeiro 
189,1929-06-17,"Off Dungeness, England",Imperial Airways,London - Paris - Basil - Zuric,Handley Page W-10,G-EBMT,W10/4,0,1929,13,11,2,7,7,0,0.5384615384615384,London 
190,1929-06-24,"St. Paul, Minnesota",Northwest Orient Airlines,St. Paul - Minneapolis,Ford 5-AT-B Tri-Motor,NC7416,5-AT-002,0,1929,8,6,2,1,0,1,0.125,St. Paul 
195,1929-08-24,"Elm, Germany",Deutsche Lufthansa,Frankfurt - Berlin,Fokker FG II,D-757,1571,0,1929,5,4,1,4,3,1,0.8,Frankfurt 
197,1929-09-03,"Mt. Taylor, near Grants, New Mexico",Trans Continental Air Transport,Albuquerque - Los Angeles,Ford 5-AT-B Tri Motor,NC9649,5-AT-002,0,1929,8,5,3,8,5,3,1.0,Albuquerque 
198,1929-09-06,"Jask, Iran",Imperial Airways,"London, England - India",de Havilland DH-66 Hercules,G-EBMZ,239,0,1929,5,2,3,3,1,2,0.6,"London, England "
199,1929-09-14,North Atlantic Ocean,Aeropostale,"Toulouse, France - Casablanca, Morocco",Latecoere 25,F-AIUJ,704,0,1929,6,4,2,6,4,2,1.0,"Toulouse, France "
200,1929-09-14,"Saint Catharines, Ontario",Skyways,Sightseeing,Travel Air 6000,CF-ABE,1024,0,1929,6,5,1,6,5,1,1.0,Sightseeing
202,1929-09-17,"Off Larache, Morocco",Aeropostale,Toulouse - Perpignan - Barcelona - Alicante - Casablanca,Latecoere 25-3-R,F-AIUJ,704,0,1929,5,3,2,5,3,2,1.0,Toulouse 
204,1929-10-26,"Off Spezia, Italy",Imperial Airways,Naples - Genoa,Short Calcutta (flying boat),G-AADN,S748,0,1929,7,5,2,7,5,2,1.0,Naples 
206,1929-10-31,"Off Bremerton, Washington",Bremerton-Seattle Air Taxi / Gorst Air Lines,Bremerton - Seattle,Loening C-2C,NC9158,232,0,1929,2,0,2,2,0,2,1.0,Bremerton 
207,1929-11-04,"Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,Matamoros - Mexico City - Juarez,Lockheed Vega 5,NC46M,097,0,1929,4,3,1,4,3,1,1.0,Matamoros 
208,1929-11-06,"Near Godstone, Surrey, England",Deutsche Lufthansa,Croyden - Amsterdam - Berlin,Junkers G-24,D-903,911,0,1929,8,4,4,7,3,4,0.875,Croyden 
209,1929-11-16,"Off Corsica, France",Air Union,Marseille - Ajaccio - Tunis,Liore et Olivier 190,F-AIGB,1,0,1929,3,0,3,3,0,3,1.0,Marseille 
210,1929-11-20,"Terranova Pausania, East Sardinia",S.A.M. Società Aerea Mediterranea,"Cagliari, Terranova - Rome",Savoia Marchetti S55,I-TACO,10519,0,1929,12,9,3,1,1,0,0.08333333333333333,"Cagliari, Terranova "
213,1929-12-19,"Near Berlin, Germany",Deutsche Lufthansa,Marseille - Berlin,Arado V1,D-1594,47,0,1929,3,0,2,2,0,2,0.6666666666666666,Marseille 
217,1930-01-13,"Antananarivo, Madagascar",Air Orient,Antananarivo - Paris,Farman 190,F-AJJK,1,0,1930,3,0,3,3,0,3,1.0,Antananarivo 
218,1930-01-19,"Oceanside, California",Maddux Airlines,"Aqua Caliente, Mexico - Los Angeles",Ford 5-AT-C Tri Motor,NC9689,5-AT-046,0,1930,16,14,2,16,14,2,1.0,"Aqua Caliente, Mexico "
219,1930-01-25,"Off Ceuta, Spain",Aeropostale,Casablanca - Alicante,Latecoere 25,F-AJCL,691,0,1930,2,0,2,2,0,2,1.0,Casablanca 
221,1930-02-03,"Hartford, Connecticut",Colonial Air Transport,"Newark, NJ - Hartford, CT",Pitcairn PA-6 Mailwing,NC801H,41,0,1930,1,0,1,1,0,1,1.0,"Newark, NJ "
222,1930-02-10,"Marden, England",Air Union,Paris - Croydon,Farman F-63,F-FHMY,21/6844,0,1930,6,3,3,2,2,0,0.3333333333333333,Paris 
223,1930-04-18,"Jersey City, New Jersey",Canadian Colonial Airways,"Albany, NY - Jersey City, NJ",Fairchild 71,NC9148,634,0,1930,4,3,1,4,3,1,1.0,"Albany, NY "
224,1930-05-10,"Buenos Aires, Argentina",Aeropostale,Buenos Aires - Montevideo,Latecoere 28,F-AJPD,918,0,1930,4,2,2,3,1,2,0.75,Buenos Aires 
225,1930-06-05,"Boston, Massachusetts",Colonial Air Transport,Boston - Newark,Ford Tri-Motor 5,NC9675,5-AT-033,0,1930,15,13,2,1,1,0,0.06666666666666667,Boston 
226,1930-07-07,"Bornholm, Denmark",Deutsche Lufthansa,Stettin - Norway,Dornier Wal,D-864,44,0,1930,8,5,3,5,4,1,0.625,Stettin 
227,1930-07-10,"Arkansas Pass, Texas",Cross Airways,Port Aransas - Kansas City,Lockheed Vega 5,NC-394H,087,0,1930,5,4,1,5,4,1,1.0,Port Aransas 
229,1930-08-22,"Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,Prague - Bratislava,Ford 5-AT-C Tri Motor,OK-FOR,5-AT-050,0,1930,11,10,1,10,9,1,0.9090909090909091,Prague 
231,1930-09-25,"Edmonton, Alberta, Canada",Western Canada Airways,Calgary - Moosejaw,Boeing 40,CF-AIN,1165,0,1930,3,2,1,3,2,1,1.0,Calgary 
233,1930-10-06,"Dresden, Germany",Deutsche Lufthansa,Berlin - Vienna,Messerschmitt M-20B,D-1930,443,0,1930,8,6,2,8,6,2,1.0,Berlin 
238,1930-10-30,"Near Neufchatel, France",Imperial Airways,"Paris, France - London, England",Handley Page W-8,G-EBIX,W8-7,0,1930,6,3,3,3,2,1,0.5,"Paris, France "
239,1930-11-07,"Off of Santos, Brazil",Syndicato Condor,Porto Alegre - Laguna - Rio de Janeiro,Junkers G-24,P-BAHA,921,0,1930,9,8,1,1,1,0,0.1111111111111111,Porto Alegre 
242,1931-01-08,"Melle, Belgium",Sabena,Brussels - London,Fokker F-VII,OO-AIL,1930,0,1931,2,0,2,2,0,2,1.0,Brussels 
243,1931-01-22,"Bluff Mountain, Washington",Varney Air Lines,Portland - Pasco,Boeing 40,NC741K,1422,0,1931,1,0,1,1,0,1,1.0,Portland 
244,1931-02-08,"Wairoa, New Zealand",Dominion Air Lines,Gisborne - Hastings,Desoutter II,ZK-ACA,D-36,0,1931,3,2,1,3,2,1,1.0,Gisborne 
246,1931-02-24,Off Spain,Aeropostale,Algiers – Marseille,Latecoere 32,F-AITX,84,0,1931,3,0,3,1,0,1,0.3333333333333333,Algiers – Marseille
247,1931-03-21,"New South Wales, Australia",Australian National Airways,Sydney - Melbourne,Avro 10,VH-UMF,241,0,1931,8,6,2,8,6,2,1.0,Sydney 
248,1931-03-31,"Bazaar, Kansas",Trans Continental and Western Air,Kansas City - Wichita -  Los Angeles,Fokker F10A Trimotor,NC-999,1063,0,1931,8,6,2,8,6,2,1.0,Kansas City 
250,1931-05-05,"Burbank, California",Pacific Air Transport,San Diego - Los Angeles,Boeing 40,NC5390,1044,0,1931,2,0,2,2,0,2,1.0,San Diego 
251,1931-05-22,"Wampit, Australia",Guiena Airways,Lae - Bulolo,Junkers W-34,VH-UNR,2611,0,1931,1,0,1,1,0,1,1.0,Lae 
253,1931-06-07,"Near Sandoway, Burma",Air Orient,Saigon - Karachi,Fokker F-VIIB,PH-AEO,5096,0,1931,4,0,4,4,0,4,1.0,Saigon 
255,1931-06-13,"Saarbrucken, Germany",Deutsche Lufthansa,Cologne - Saarbrucken,Dornier Merkur,D-1455,177,0,1931,4,2,2,4,2,2,1.0,Cologne 
256,1931-07-12,"Chicago, Illinois",Braniff Airlines,Chicago - Detroit,Lockheed Vega,NC8497,154,0,1931,2,0,2,2,0,2,1.0,Chicago 
259,1931-07-24,"Kurudjevo, Bulgaria",CIDNA,Constantinople - Budapest,Fokker F-VII,F-ALGT,18,0,1931,7,5,2,7,5,2,1.0,Constantinople 
260,1931-08-09,"Cincinnati, Ohio",American Airways,Cincinnati - Atlanta,Ford 5-AT-C Tri Motor,NC9662,5AT-029,0,1931,6,4,2,6,4,2,1.0,Cincinnati 
263,1931-09-16,"Oakland, California",Pacific Air Transport,"Oakland, CA - Seattle, WA",Boeing 40,NC10347,1428,0,1931,4,3,1,4,3,1,1.0,"Oakland, CA "
264,1931-10-06,"Novia Scotia, Canada",Deutsche Lufthansa,Sydney - New York,Heinkel HE-2,D-1717,334,0,1931,3,0,3,3,0,3,1.0,Sydney 
266,1931-11-05,"Camden, New Jersey","NY, Phil., Washington AW","Newark, NJ  - Camden, NJ - Washington DC",Lockheed Orion 9,NC12221,178,0,1931,5,4,1,5,4,1,1.0,"Newark, NJ  "
267,1931-11-13,"Sir Lowry's pass, South Africa",Union Airways,Durban - Cape Town,De Havilland DH.80,ZS-ACD,2110,0,1931,3,2,1,3,2,1,1.0,Durban 
270,1931-11-26,"Pasco, Washington",Varney Air Lines,"Portland,  OR - Pasco, WA",Boeing 40,NC10338,1419,0,1931,1,0,1,1,0,1,1.0,"Portland,  OR "
271,1931-12-05,"Kewanee, Illinois",Braniff Airways,Kansas City - Chicago,Lockheed Vega 5,NC433E,049,0,1931,6,5,1,2,2,0,0.3333333333333333,Kansas City 
272,1931-12-06,"Bangkok, Thailand",KLM Royal Dutch Airlines,Djakarta - Amsterdam -  Bangkok - Rangoon (Burma),Fokker F-VIIb-3M,PH-AFO,5226,0,1931,7,3,4,5,2,3,0.7142857142857143,Djakarta 
273,1931-12-09,Off Algiers,Aeropostale,Marseille - Algiers,CAMS 56,F-AIOX,3,0,1931,2,0,2,2,0,2,1.0,Marseille 
275,1932-01-21,"Colvin Park, Ilinois",Northwest Airways,"Rockford - Chicago, IL - Madison, WI",Stinson SM-2A,NC443H,1088,0,1932,1,0,1,1,0,1,1.0,Rockford 
276,1932-01-29,"Lebec, California",Century Pacific Lines,"San Francisco - Bakersfield - Los Angeles, CA",Stinson SM-6000B,NC10813,5034,0,1932,8,7,1,8,7,1,1.0,San Francisco 
279,1932-02-02,"Marcellus, Michigan",Transamerican Airlines,Chicago - Kalamazoo,Stearman C-3MB,NC6411,161,0,1932,1,0,1,1,0,1,1.0,Chicago 
281,1932-03-08,"Saint Louis, Illinois",Century Air Lines,Training,Stinson SM-6000B,NC11122,5016,0,1932,5,0,5,3,0,3,0.6,Training
282,1932-03-19,"Calimesa, California",American Airways,"Phoenix, AZ - Los Angeles, CA",Fokker F-10A,NC652E,1027,0,1932,7,5,2,7,5,2,1.0,"Phoenix, AZ "
283,1932-03-21,"Steubenville, Ohio",Trans Continental and Western Air,Columbus - McKeesport,Northrop Alpha 3,NC966Y,9,0,1932,1,0,1,1,0,1,1.0,Columbus 
284,1932-03-29,"Rutbah Wells, Iraq",Air Orient,Damascus - Baghdad - Karachi,Farman F-190,"F-AJDP
F-AJDP",7120,0,1932,3,1,2,3,1,2,1.0,Damascus 
287,1932-05-16,"Burbank, California",Pacific Air Transport,San Diego - Burbank - Oakland,Boeing 40,NC5589,1042,0,1932,3,2,1,3,2,1,1.0,San Diego 
289,1932-07-16,"Mount El Plomo, near Vitacura, Chile",Panagra,"Santiago, Chile - Mendosa, Argentina",Ford 5-AT-C Tri Motor,NC403H,5-AT-062,0,1932,9,6,3,9,6,3,1.0,"Santiago, Chile "
290,1932-08-12,"Beyrouth, Lebanon",Air Orient,Marseille - Naples - Beyrouth - Saigon,CAMS 53,F-AIQY,07,0,1932,7,3,4,0,0,0,0.0,Marseille 
291,1932-08-31,"Tubergen, Germany",A B Aerotransport,Amsterdam - Hanover - Copenagen - Malmö,Junkers G-23,SE-AAE,836,0,1932,2,0,2,2,0,2,1.0,Amsterdam 
292,1932-09-08,"Salt Flats, Texas",American Airways,El Paso - Dallas,Fokker F-10,NC9716,1009,0,1932,4,2,2,3,1,2,0.75,El Paso 
294,1932-09-18,"Byron Bay, Australia",New England Airways,Sydney - Lismore - Brisbane,De Havilland DH-80,VH-UPM,2052,0,1932,3,2,1,3,2,1,1.0,Sydney 
295,1932-10-12,"Port Etienne, Mauritania",Aeropostale,Dakar - Port Etienne - Algiers - Paris,Latecoere 28,F-AJIP,905,0,1932,1,0,1,1,0,1,1.0,Dakar 
298,1932-11-02,"Echterpfuhl, Germany",Deutsche Lufthansa,Nuremberg - Frankfort,Junkers F-13,D-724,696,0,1932,5,3,2,5,3,2,1.0,Nuremberg 
299,1932-11-25,"Marianna, Arkansas",Hunter Airways,"Little Rock, AR - Memphis, TN",Travel Air 6000,NC369M,2020,0,1932,2,1,1,2,1,1,1.0,"Little Rock, AR "
304,1933-01-14,"Newark, New Jersey",Eastern Air Transport,Test flight,Curtiss Condor 18,NC185H,1168,0,1933,2,0,2,2,0,2,1.0,Test flight
306,1933-01-20,"Bourne, Texas",American Airways,Big Springs - San Antonio,Stearman 4,NC11721,4039,0,1933,1,0,1,1,0,1,1.0,Big Springs 
309,1933-03-25,"Hayward, California",Varney Airlines,Burbank - San Francisco,Lockheed Orion 9,NC12226,184,11,1933,3,2,1,3,2,1,1.0,Burbank 
310,1933-03-28,"Near Dixmude, Belgium",Imperial Airways,"Cologne, Germany - Croydon, England",Armstrong Whitworth Argosy II,G-AACI,AW-363,0,1933,15,12,3,15,12,3,1.0,"Cologne, Germany "
313,1933-04-23,"Near Castrovillari, Calabria, Italy",Air Orient,Corfu - Naples,Cams 53-1,F-ALCE,29,0,1933,8,5,3,5,2,3,0.625,Corfu 
315,1933-05-09,"Near Viladrau, Spain",Aeropostale - La Tecoere Company,Paris - Morroco,Latecoere 28-1,F-AJIX,1701,0,1933,6,3,3,6,3,3,1.0,Paris 
318,1933-07-18,Aegean Sea,Societa Anonima Aero Expresso Italiana,Athens - Rhodes,CMASA Wal (flying boat),I-AZEE,127,0,1933,6,2,4,6,2,4,1.0,Athens 
319,1933-08-29,"Quay, New Mexico",Trans Continental and Western Air,"Amarillo, TX - Albuquerque, NM",Ford 5-AT-B Tri Motor,NC9607,5-AT-005,0,1933,5,3,2,5,3,2,1.0,"Amarillo, TX "
321,1933-10-10,"Chesterton, Indiana",United Air Lines,Newark - Cleveland - Chicago - Oakland,Boeing 247,NC13304,1685,0,1933,10,7,3,10,7,3,1.0,Newark 
322,1933-10-31,"Etobon, France",Air France,Zurich - Basel - Paris,Farman F-301,F-AJMI,04,0,1933,5,2,3,2,1,1,0.4,Zurich 
328,1933-12-11,"Hamburg, Germany",Deutsche Lufthansa,Berlin - Hamburg,Focke-Wulf A-17,D-1403,47,0,1933,10,8,2,6,4,2,0.6,Berlin 
